,Astro,CGE der,L2/3,L4,L5/6,MGE der,Micro,Oligo,OPC,Vas
RL1784,1101,250,1436,1730,644,810,390,130,631,38
RL1785,900,175,1210,878,5,705,457,1905,415,40
RL1914,356,314,440,696,1802,783,167,7,334,84
RL1994,86,74,159,307,4,165,194,146,205,18
RL2085,474,256,875,902,25,919,771,1109,724,37
RL2207,168,1220,2606,3069,4216,702,16,3,2,3
RL2208,1509,263,1104,1088,511,1090,82,30,381,38
RL2209,369,290,1617,1830,312,887,586,274,1058,41
RL2210,1390,244,1159,1866,138,786,362,213,812,82
RL2364,315,109,259,668,43,354,195,543,313,29
RL2366,32,125,1232,1263,1763,87,0,0,2,0
RL2367,685,1184,872,914,3511,1123,29,1,239,5
RL2368,863,77,761,1051,42,446,439,1477,604,60
RL2369,2374,358,1356,3216,297,1572,727,1546,923,540
RL2371,1022,28,607,801,1521,191,9,153,115,5
RL2372,445,41,290,438,115,136,72,95,157,10
RL2373,1553,177,1374,2284,422,792,356,1094,331,164
