leiden,mat/dev,cell_type,major_clust,sub_clust,used for plotting,dev_clust,downstream_dev_clusts
0,mat,MGE,PV,PV_WFDC2,PV_WFDC2,PV_WFDC2,"PV_dev,MGE_dev-1"
1,dev,MGE,SST,SST_CALB1_dev,SST_CALB1,SST_CALB1_dev,"MGE_dev-2,MGE_dev-1"
2,mat,CGE,VIP,VIP_HS3ST3A1,VIP_HS3ST3A1,VIP_HS3ST3A1,"VIP_dev,CGE_dev"
3,mat,CGE,VIP,VIP_CHRM2,VIP_CHRM2,VIP_CHRM2,"VIP_dev,CGE_dev"
4,mat,CGE,ID2,LAMP5_CCK,LAMP5_CCK,LAMP5_CCK,"ID2_dev,CGE_dev"
5,mat,MGE,SST,SST_ADGRG6,SST_ADGRG6,SST_ADGRG6,"SST_ADGRG6_dev,MGE_dev-2,MGE_dev-1"
6,dev,MGE,MGE_dev,MGE_dev-1,MGE_dev,MGE_dev-1,root
7,dev,MGE,PV,PV_dev,PV_dev,PV_dev,MGE_dev-1
8,dev,CGE,CGE_dev,CGE_dev,CGE_dev,CGE_dev,root
9,mat,CGE,VIP,VIP_CRH,VIP_CRH,VIP_CRH,"VIP_dev,CGE_dev"
10,mat,MGE,SST,SST_B3GAT2,SST_B3GAT2,SST_B3GAT2,"MGE_dev-2,MGE_dev-1"
11,mat,CGE,ID2,LAMP5_NDNF,LAMP5_NDNF,LAMP5_NDNF,"ID2_dev,CGE_dev"
12,mat,MGE,SST,SST_STK32A,SST_STK32A,SST_STK32A,"MGE_dev-2,MGE_dev-1"
13,mat,MGE,ID2,LAMP5_NOS1,LAMP5_NOS1,LAMP5_NOS1,MGE_dev-1
14,mat,MGE,SST,SST_CALB1,SST_CALB1,SST_CALB1,"SST_CALB1_dev,MGE_dev-2,MGE_dev-1"
15,dev,MGE,SST,SST_ADGRG6_dev,SST_ADGRG6,SST_ADGRG6_dev,"MGE_dev-2,MGE_dev-1"
16,mat,CGE,VIP,VIP_ABI3BP,VIP_ABI3BP,VIP_ABI3BP,"VIP_dev,CGE_dev"
17,mat,CGE,ID2,CCK_SORCS1,CCK_SORCS1,CCK_SORCS1,"CCK_dev,ID2_dev,CGE_dev"
18,mat,MGE,PV,PV_SULF1,PV_SULF1,PV_SULF1,"PV_dev,MGE_dev-1"
19,mat,CGE,VIP,VIP_KIRREL3,VIP_KIRREL3,VIP_KIRREL3,"VIP_dev,CGE_dev"
20,mat,CGE,VIP,VIP_ADAMTSL1,VIP_ADAMTSL1,VIP_ADAMTSL1,"VIP_dev,CGE_dev"
21,mat,MGE,PV,PV_SCUBE3,PV_SCUBE3,PV_SCUBE3,"PV_SCUBE3_dev,MGE_dev-1"
22,mat,CGE,ID2,ID2_CSMD1,ID2_CSMD1,ID2_CSMD1,"CCK_dev,ID2_dev,CGE_dev"
23,dev,MGE,MGE_dev,MGE_dev-2,MGE_dev,MGE_dev-2,MGE_dev-1
24,mat,CGE,VIP,VIP_DPP6,VIP_DPP6,VIP_DPP6,"VIP_dev,CGE_dev"
25,dev,CGE,ID2,ID2_dev,ID2_dev,ID2_dev,CGE_dev
26,mat,CGE,ID2,CCK_RELN,CCK_RELN,CCK_RELN,"CCK_dev,ID2_dev,CGE_dev"
27,mat,MGE,SST,PV_SST,PV_SST,PV_SST,"MGE_dev-2,MGE_dev-1"
28,mat,MGE,SST,SST_BRINP3,SST_BRINP3,SST_BRINP3,"MGE_dev-2,MGE_dev-1"
29,dev,MGE,PV,PV_SULF1_dev,PV_SULF1,PV_SULF1_dev,"MGE_dev-2,MGE_dev-1"
30,dev,MGE,PV,PV_SCUBE3_dev,PV_SCUBE3,PV_SCUBE3_dev,MGE_dev-1
31,mat,MGE,SST,SST_TH,SST_TH,SST_TH,"MGE_dev-2,MGE_dev-1"
32,mat,CGE,ID2,CCK_SYT6,CCK_SYT6,CCK_SYT6,"ID2_dev,CGE_dev"
33,dev,CGE,VIP,VIP_dev,VIP_dev,VIP_dev,CGE_dev
34,mat,CGE,VIP,VIP_PCDH20,VIP_PCDH20,VIP_PCDH20,"VIP_dev,CGE_dev"
35,mat,MGE,SST,SST_NPY,SST_NPY,SST_NPY,MGE_dev-1
