leiden,mat/dev,cell_type,major_clust,sub_clust,dev_clust,downstream_dev_clusts
0,mat,Non-Neu,OPC,OPC,OPC,OPC_dev
1,mat,Non-Neu,Astro,Astro_SLC1A2,Astro_SLC1A2,"Astro_SLC1A2_dev,Astro_dev"
2,dev,Non-Neu,Astro,Astro_dev-1,Astro_dev,root
3,mat,Non-Neu,Oligo,Oligo_mat,Oligo,"Oligo,OPC_MBP"
4,mat,Non-Neu,Oligo,Oligo-1,Oligo,"Oligo,OPC_MBP"
5,mat,Non-Neu,Micro,Micro,Micro,Micro_out
6,mat,Non-Neu,Oligo,Oligo-2,Oligo,"Oligo,OPC_MBP"
7,IN,IN,IN,IN,IN,IN
8,mat,PN,L2/3_CUX2,L2_CUX2_LAMP5,L2_CUX2_LAMP5,"L2_CUX2_LAMP5_dev,L2/3_CUX2_dev,PN_dev"
9,mat,Non-Neu,Oligo,Oligo-3,Oligo,"Oligo,OPC_MBP"
10,dev,PN,L4_RORB,L4_RORB_dev-2,L4_RORB_dev,root
11,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-1,L2/3_CUX2_dev,root
12,IN,IN,IN,IN,IN,IN
13,dev,PN,PN_dev,PN_dev,PN_dev,root
14,dev,Non-Neu,Astro,Astro_SLC1A2_dev,Astro_SLC1A2_dev,Astro_dev
15,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-2,L2/3_CUX2_dev,root
16,mat,Non-Neu,Astro,Astro_GFAP,Astro_GFAP,Astro_dev
17,mat,PN,L4_RORB,L4_RORB_LRRK1,L4_RORB_LRRK1,"L4_RORB_dev,PN_dev"
18,dev,PN,L4_RORB,L4_RORB_dev-fetal,L4_RORB_dev,root
19,dev,Non-Neu,Astro,Astro_dev-2,Astro_dev,root
20,IN,IN,IN,IN,IN,IN
21,dev,PN,L5/6_THEMIS,L5/6_THEMIS_dev-1,L5/6_THEMIS_dev,root
22,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-3,L2/3_CUX2_dev,root
23,IN,IN,IN,IN,IN,IN
24,dev,PN,L5/6_TLE4,L5/6_TLE4_dev,L5/6_TLE4_dev,root
25,dev,PN,L5/6_THEMIS,L5/6_THEMIS_dev-2,L5/6_THEMIS_dev,root
26,mat,PN,L5/6_TLE4,L5/6_TLE4_SCUBE1,L5/6_TLE4_SCUBE1,L5/6_TLE4_dev
27,mat,PN,L5/6_TLE4,L5/6_TLE4_SORCS1,L5/6_TLE4_SORCS1,L5/6_TLE4_dev
28,mat,PN,L4_RORB,L4_RORB_MET,L4_RORB_MET,"L4_RORB_dev,PN_dev"
29,IN,IN,IN,IN,IN,IN
30,IN,IN,IN,IN,IN,IN
31,mat,PN,L2/3_CUX2,L3_CUX2_PRSS12,L3_CUX2_PRSS12,"L2/3_CUX2_dev,PN_dev"
32,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-4,L2/3_CUX2_dev,root
33,IN,IN,IN,IN,IN,IN
34,dev,PN,L2/3_CUX2,L2_CUX2_LAMP5_dev,L2_CUX2_LAMP5_dev,L2_CUX2_dev
35,mat,Non-Neu,Oligo,Oligo-4,Oligo,"Oligo,OPC_MBP"
36,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-5,L2/3_CUX2_dev,root
37,IN,IN,IN,IN,IN,IN
38,dev,Non-Neu,OPC,OPC_dev,OPC_dev,root
39,IN,IN,IN,IN,IN,IN
40,mat,PN,L5/6_THEMIS,L5/6_THEMIS_CNR1,L5/6_THEMIS_CNR1,"L5/6_THEMIS_dev,PN_dev"
41,IN,IN,IN,IN,IN,IN
42,NA,Poor-Quality,Poor-Quality,BKGR_NRGN,BKGR_NRGN,NA
43,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-6,L2/3_CUX2_dev,root
44,mat,PN,L4_RORB,L4_RORB_MME,L4_RORB_MME,"L4_RORB_dev,PN_dev"
45,mat,PN,L5/6_TLE4,L5/6_TLE4_HTR2C,L5/6_TLE4_HTR2C,L5/6_TLE4_dev
46,dev,PN,L2/3_CUX2,L2/3_CUX2_dev-fetal,L2/3_CUX2_dev,root
47,IN,IN,IN,IN,IN,IN
48,IN,IN,IN,IN,IN,IN
49,mat,Non-Neu,Oligo,OPC_MBP,OPC_MBP,root
50,mat,Non-Neu,Oligo,Oligo-5,Oligo,"Oligo,OPC_MBP"
51,mat,Non-Neu,Vas,Vas_TBX18,Vas_TBX18,root
52,IN,IN,IN,IN,IN,IN
53,dev,Non-Neu,Micro,Micro_out,Micro_out,root
54,dev,Non-Neu,Astro,Astro_dev-3,Astro_dev,root
55,mat,PN,L5/6_THEMIS,L5/6_THEMIS_NTNG2,L5/6_THEMIS_NTNG2,"L5/6_THEMIS_dev,PN_dev"
56,dev,Non-Neu,Astro,Astro_dev-4,Astro_dev,root
57,dev,PN,L4_RORB,L4_RORB_dev-1,L4_RORB_dev,"L4_RORB_dev,PN_dev"
58,mat,Non-Neu,Vas,Vas_PDGFRB,Vas_PDGFRB,root
59,mat,Non-Neu,Vas,Vas_CLDN5,Vas_CLDN5,root
60,dev,Non-Neu,Astro,Astro_dev-5,Astro_dev,root
61,mat,Non-Neu,Oligo,Oligo-6,Oligo,"Oligo,OPC_MBP"
62,mat,Non-Neu,Oligo,Oligo-7,Oligo,"Oligo,OPC_MBP"
